"","subjID","xpos_max","xpos_min","ypos_max","ypos_min","MAD","MAD_time","MD_above","MD_above_time","MD_below","MD_below_time","AD","AUC","xpos_flips","ypos_flips","xpos_reversals","ypos_reversals","RT","initiation_time","idle_time","total_dist","vel_max","vel_max_time","vel_min","vel_min_time","acc_max","acc_max_time","acc_min","acc_min_time","ang_rate","hap_rate","sur_rate","red_rate","blu_rate","pur_rate","ang_RT","hap_RT","sur_p_RT","sur_n_RT","red_RT","blu_RT","pur_b_RT","pur_r_RT"
"1",80501,0.141243488931734,-1.06001670986885,1.02207498058048,-0.0010058633422695,0.369824104140246,627.392307692308,0.419546094769505,622.369230769231,-0.0775885769442838,635.215384615385,0.0885836145371909,0.255817924261896,1.63846153846154,1,0.646153846153846,0.146153846153846,1273.71538461538,322.992307692308,716.923076923077,851.308410183938,8.33074690437137,613.146153846154,0,0,0.391864597212348,619.915384615385,-0.363225888668213,631.561538461538,1,0,0.138888888888889,1,0,1,1266.72222222222,1142.5,1415.22580645161,1885,1100.42857142857,1126.47619047619,NA,1172.16666666667
"2",80502,0.259621154632241,-1.06026057221855,1.01828082687099,-0.00515977103373011,0.43414368811769,437.569230769231,0.490343141449327,460.969230769231,-0.0968595731063084,363.407692307692,0.111500218955031,0.295902737416397,2.08461538461538,1.49230769230769,0.907692307692308,0.538461538461538,1000.73846153846,61.1153846153846,233.084615384615,922.350263471502,6.35937278401261,420.584615384615,0,0,0.283309064001931,415.676923076923,-0.284949331183291,412.461538461538,0.944444444444444,0,0.277777777777778,0.904761904761905,0,0,1100.35294117647,961.944444444444,969.615384615385,1139.6,914.789473684211,948.380952380952,927.333333333333,NA
"3",80503,0.235524042364562,-1.08507755932501,1.02535436561962,-0.0190558302611147,0.451805080080137,833.692307692308,0.494665582344567,800.715384615385,-0.0908391141604389,715.146153846154,0.161948840904649,0.274930819750953,2.56153846153846,2.03076923076923,1.08461538461538,0.492307692307692,1529.2,149.3,863.292307692308,1014.41996894364,Inf,551.669230769231,0,0,0.434917887609829,813.723076923077,-Inf,538.415384615385,0.888888888888889,0,0.388888888888889,1,0,0,2118.625,1600.44444444444,1481.90909090909,1567.85714285714,1316.57142857143,1080.04761904762,1131.83333333333,NA
"4",80504,0.296152107643292,-1.06977797488905,1.01185359719571,-0.00142854475133669,0.398700296564993,562.307692307692,0.472599789749892,506.207692307692,-0.110499638222551,502.876923076923,0.0887884240601287,0.231697150623346,2.01538461538462,1.11538461538462,0.953846153846154,0.269230769230769,1058.54615384615,194.023076923077,438.961538461538,937.316422058141,7.4171307812845,567.823076923077,0,0,0.358567779670677,575.969230769231,-0.324282338656853,578.1,1,0,0.166666666666667,0.904761904761905,0,0,1085.5,966.055555555556,1113.26666666667,1430.16666666667,1039.84210526316,845.047619047619,931.333333333333,NA
"5",80505,0.156136922147758,-1.03859906428863,1.0201907970707,-0.0019242489247939,0.325773310556217,555.223076923077,0.354355229518346,525.123076923077,-0.0541632350018237,479.315384615385,0.0767919751899479,0.211061691203571,1.78461538461538,1.22307692307692,0.846153846153846,0.207692307692308,1003.33076923077,198.423076923077,420.046153846154,817.258268673817,6.99471320702907,531.030769230769,0,0,0.304362173060811,527.223076923077,-0.332943284547703,541.776923076923,1,0,0.638888888888889,1,0,0.666666666666667,971.388888888889,1012.22222222222,1188.69230769231,1085.91304347826,898,873.809523809524,962,860
"6",80510,0.250840759676036,-1.05230461710018,1.02841484321751,-0.000144320969836917,0.490440538040912,588.976923076923,0.524073217842298,575.053846153846,-0.0558863826753129,522.392307692308,0.115422065017189,0.295145325905371,1.50769230769231,1.15384615384615,0.723076923076923,0.00769230769230769,1178.88461538462,361.569230769231,579.815384615385,929.260307627253,7.43026578263304,549.092307692308,0,0,0.308229872995629,529.130769230769,-0.304350112462394,567.423076923077,1,0,0.361111111111111,1,0,0.5,1183.44444444444,1101.27777777778,1394.91304347826,1439.15384615385,950.428571428571,994,1085.33333333333,1031
"7",80513,0.0954508029549733,-1.03336798408492,1.02779126232344,-0.00372425140848191,0.178454906198344,615.546153846154,0.259283420253787,629.292307692308,-0.0800539514168703,500.984615384615,0.0486345568698846,0.123710068750863,1.29230769230769,1.14615384615385,0.553846153846154,0.330769230769231,1298.25384615385,270.307692307692,820.792307692308,777.582594583371,7.9047120081028,603.369230769231,0,0,0.372440052140124,609.469230769231,-0.34164067733571,617.469230769231,1,0,0.833333333333333,1,0,0.833333333333333,1374.77777777778,1246.61111111111,1822.83333333333,1276.86666666667,1113.28571428571,1171.14285714286,1093,1570.4
