"","subjID","xpos_max","xpos_min","ypos_max","ypos_min","MAD","MAD_time","MD_above","MD_above_time","MD_below","MD_below_time","AD","AUC","xpos_flips","ypos_flips","xpos_reversals","ypos_reversals","RT","initiation_time","idle_time","total_dist","vel_max","vel_max_time","vel_min","vel_min_time","acc_max","acc_max_time","acc_min","acc_min_time","ang_rate","hap_rate","sur_rate","red_rate","blu_rate","pur_rate","ang_RT","hap_RT","sur_p_RT","sur_n_RT","red_RT","blu_RT","pur_b_RT","pur_r_RT"
"1",80500,0.0687208135734578,-1.03820596061764,1.01671887045194,-0.0162637887548403,0.109627773210349,737.738461538462,0.181520201047729,659.030769230769,-0.0846179345639162,627.6,0.0253870339384449,0.0780910399851825,1.58461538461538,1.01538461538462,0.453846153846154,0.376923076923077,1529.8,379.5,1053.84615384615,746.996850002637,Inf,437.530769230769,0,0,0.573976227439679,662.684615384615,-Inf,509.169230769231,1,0,0.888888888888889,0.952380952380952,0,0,1540.55555555556,1421.16666666667,1882,1582,1560,1293.33333333333,1481.83333333333,NA
"2",80501,0.196650068215064,-1.02412063252893,1.01257149907168,-0.0125469385930849,0.367876335578316,610.638461538462,0.395974939597075,566.684615384615,-0.054353687732013,538.569230769231,0.0905716779435612,0.24475338684946,3.01538461538462,1.43076923076923,1.23846153846154,0.423076923076923,1197.52307692308,186.269230769231,635.584615384615,850.713257988739,Inf,415.315384615385,0,0,0.302874412369521,562.115384615385,-Inf,430.946153846154,1,0,0,0.952380952380952,0,1,1295.44444444444,1166,1158.88888888889,NA,951.8,1187.42857142857,NA,1495.83333333333
"3",80502,0.180810706634795,-1.0736633633537,1.02085741769959,-0.00908171870192364,0.351895272028147,498.161538461538,0.401198090888391,483.476923076923,-0.0838060101345249,500.4,0.0993564006612739,0.252514138486277,2.62307692307692,0.976923076923077,0.946153846153846,0.176923076923077,1104.43846153846,149.207692307692,427.061538461538,853.700290597227,Inf,402.046153846154,0,0,0.363475180704629,486.915384615385,-Inf,434.015384615385,1,0,0.111111111111111,0.952380952380952,0,0,1219.27777777778,1052.5,1149.90625,1163.25,1003.8,966.571428571429,1058.66666666667,NA
"4",80503,0.213036282441501,-1.04868409744735,1.02668629929206,-4.43786982248521e-05,0.392929362819057,659.492307692308,0.40958435391718,634.476923076923,-0.0496155774134619,624.438461538462,0.0989255468323116,0.254129364122348,1.26923076923077,0.838461538461538,0.630769230769231,0.00769230769230769,1386.13846153846,330.4,728.938461538462,848.275132118451,9.42126460589209,603.5,0,0,0.461126831986974,600.284615384615,-0.460135171247668,624.076923076923,0.944444444444444,0,0.555555555555556,1,0,0,1430.82352941176,1306.44444444444,1479.125,1525.9,1346.85714285714,1187.33333333333,1302.16666666667,NA
"5",80504,0.288612245348944,-1.04597683083336,1.01532420610466,-0.00132996537647684,0.41725198814591,601.884615384615,0.480798051897286,516.861538461538,-0.0823639869263744,541.930769230769,0.107981588240147,0.307799051615011,1.71538461538462,0.730769230769231,0.830769230769231,0.0923076923076923,1106.91538461538,293.907692307692,532.507692307692,907.830780064179,7.25977107574801,602.392307692308,0,0,0.359077766566321,599.707692307692,-0.343169549168479,615.992307692308,0.944444444444444,0,0.638888888888889,0.952380952380952,0,0,1216.58823529412,1000.05555555556,1241.61538461538,1215.4347826087,959.4,922.190476190476,1142.66666666667,NA
"6",80505,0.231294978320581,-1.04003690347735,1.02828915802053,-0.000840988809803157,0.365513773291874,551.2,0.418502236223811,513.046153846154,-0.0721779048568621,505.523076923077,0.103590391151137,0.24311139966827,1.95384615384615,1.28461538461538,0.761538461538461,0.153846153846154,1041.50769230769,205,440.553846153846,877.477565364835,6.87586751853226,522.076923076923,0,0,0.296350082226177,535.576923076923,-0.323532747871889,547.638461538462,1,0,0.777777777777778,1,0,0.833333333333333,965.055555555556,991.666666666667,1596.875,1137.42857142857,873.857142857143,954.238095238095,975,1144.6
"7",80506,0.348508851386351,-1.06879318557311,1.03005751496444,-0.00246362054879973,0.582348700350801,512.038461538462,0.606512566954162,494.269230769231,-0.0768014501195034,557.661538461538,0.156876981623982,0.34720721168214,2.13846153846154,1.85384615384615,0.776923076923077,0.107692307692308,1288.31538461538,102.730769230769,698.9,1011.91567670835,Inf,482.323076923077,0,0,0.606777440417113,511,-Inf,501.453846153846,1,0,0.777777777777778,1,0.0952380952380952,0.5,1202.33333333333,1372.61111111111,1363.375,1421.25,1251.09523809524,1123.52631578947,947.333333333333,1352.66666666667
"8",80507,0.0999359031866464,-1.01755022047339,1.01401709832853,0,0.221350339325263,554.238461538462,0.246309858218406,527.776923076923,-0.032892284278516,546.446153846154,0.0489263020380377,0.164273722382767,0.746153846153846,0.684615384615385,0.253846153846154,0,990.646153846154,408.346153846154,514.2,728.10981441417,6.8797224812399,516.223076923077,0,0,0.204158699923494,490.384615384615,-0.185421687232326,547.323076923077,1,0,0,1,0,0,1048.38888888889,985.944444444444,980.75,NA,944.571428571429,913.095238095238,1073.16666666667,NA
"9",80508,0.152928512736431,-1.01643373225508,1.01272941841073,0,0.261812709554668,691.653846153846,0.288952141603067,661.323076923077,-0.0407607831322988,609.038461538462,0.0843767286099626,0.172955445253509,0.961538461538462,0.346153846153846,0.607692307692308,0,1355.73846153846,126.3,405.007692307692,761.928669581418,3.08494668814022,721.653846153846,0,0,0.153623537650453,733.269230769231,-0.158113353639337,727.453846153846,0.833333333333333,0,0,1,0,0.166666666666667,1543.8,1345.61111111111,1342.61111111111,NA,1194.90476190476,1249.71428571429,1650.6,1144
"10",80509,0.331461928095322,-1.13713897033577,1.04312447136183,-0.0166583549529333,0.465270849704036,917.576923076923,0.52573983491282,863.076923076923,-0.135785242431047,1047.14615384615,0.125543035996743,0.33042609279308,4.08461538461538,3.40769230769231,1.37692307692308,0.507692307692308,1831.46923076923,90.6769230769231,766.369230769231,1226.45649410216,10.4741144138734,1031.93076923077,0,0,0.608388323079099,1039.00769230769,-0.630558233459263,1018.77692307692,1,0.0555555555555556,0.555555555555556,1,0,0.666666666666667,1834.11111111111,2008.64705882353,2018.9375,1834.8,1735.33333333333,1793.33333333333,1815.5,1562.75
